achan,sora,roboco,miko,suisei,azki,mel,fubuki,matsuri,haachama,aki,aqua,shion,ayame,choco,subaru,mio,okayu,korone,pekora,rushia,flare,noel,marine,kanata,coco,watame,towa,luna,nene,polka,botan,lamy,laplus,lui,koyori,chloe,iroha,gura,ina,kiara,ame,calli,risu,iofi,moona
11,17,1,4,44,145,1,1,2,1,10,1,4,3,4,1,7,24,21,34,31,58,31,42,62,61,63,65,64,106,90,92,91,167,166,165,164,163,172,172,190,190,190,190,190,190
24,37,3,7,48,149,5,2,3,3,14,3,6,4,6,2,8,28,24,36,36,63,32,43,63,62,70,77,70,109,97,100,99,179,171,169,171,177,190,174,197,,198,192,194,193
37,49,5,10,53,155,8,3,5,5,16,6,7,6,7,3,9,36,28,38,44,67,33,46,64,63,73,79,88,110,100,102,100,181,177,185,172,185,200,190,,,,,,
38,53,6,14,56,190,16,5,6,6,18,8,8,7,11,4,12,38,30,42,52,72,34,50,65,68,76,83,92,115,110,109,102,184,180,187,178,190,,196,,,,,,
47,67,7,17,57,197,24,7,7,7,20,9,11,8,15,6,17,40,34,43,53,76,40,51,72,69,78,92,100,117,121,110,110,185,181,189,184,196,,,,,,,,
51,79,10,18,63,,29,9,8,13,35,18,16,12,16,7,18,41,35,45,55,80,44,53,88,73,85,98,103,125,125,125,111,187,185,190,185,,,,,,,,,
55,82,11,20,66,,38,12,13,14,38,38,18,14,25,16,19,43,38,46,56,86,50,57,93,112,89,103,112,129,129,129,122,190,187,192,190,,,,,,,,,
61,83,12,23,68,,42,13,14,17,39,41,22,16,32,17,20,51,40,47,58,87,53,58,101,,91,108,116,130,130,131,125,193,190,200,193,,,,,,,,,
67,85,18,25,72,,46,18,15,32,50,51,25,18,36,18,21,52,53,53,70,91,56,68,102,,99,111,121,132,146,136,127,,193,,,,,,,,,,,
78,86,22,37,86,,53,19,18,33,53,52,29,19,38,19,27,53,54,56,72,93,58,72,106,,102,112,125,134,147,142,129,,,,,,,,,,,,,
89,90,23,38,109,,54,23,23,38,57,53,34,25,40,25,30,54,56,58,74,106,70,77,109,,110,126,128,136,153,146,146,,,,,,,,,,,,,
90,95,27,44,113,,71,27,25,40,59,75,36,26,46,28,31,59,59,67,82,115,71,86,112,,112,130,129,146,157,147,147,,,,,,,,,,,,,
93,101,30,53,126,,76,30,26,50,74,77,38,30,50,29,38,65,60,68,83,118,72,92,114,,118,136,137,152,160,154,153,,,,,,,,,,,,,
95,105,37,81,128,,85,31,27,53,77,86,39,38,53,30,40,69,69,72,84,123,84,93,122,,123,137,142,161,171,161,183,,,,,,,,,,,,,
97,119,45,82,129,,86,38,30,54,80,93,48,41,59,35,43,70,73,73,85,128,86,94,126,,124,158,143,178,173,188,190,,,,,,,,,,,,,
100,126,47,86,131,,88,42,31,60,82,94,49,44,62,38,48,73,75,75,86,154,87,100,127,,125,167,144,183,175,190,194,,,,,,,,,,,,,
102,137,53,87,137,,102,43,33,66,86,96,52,47,82,39,53,75,78,79,111,157,95,101,129,,127,186,152,186,181,195,198,,,,,,,,,,,,,
107,138,60,95,139,,107,45,38,69,87,100,53,48,84,43,59,80,80,86,113,158,99,109,135,,132,190,155,187,190,,,,,,,,,,,,,,,
108,140,67,100,141,,115,50,39,70,97,103,54,52,85,46,64,86,86,108,116,190,115,114,148,,135,196,161,190,,,,,,,,,,,,,,,,
114,156,71,105,154,,120,52,45,82,98,114,60,53,86,51,73,87,87,111,122,191,116,117,150,,136,,170,195,,,,,,,,,,,,,,,,
126,158,84,106,158,,122,53,49,86,107,135,75,55,89,53,74,90,90,114,124,200,120,126,155,,137,,179,197,,,,,,,,,,,,,,,,
150,163,85,116,168,,126,59,53,87,114,137,76,62,96,59,79,97,95,116,125,,129,127,176,,138,,190,,,,,,,,,,,,,,,,,
151,167,86,130,170,,131,61,55,90,120,141,85,69,108,64,82,100,97,126,127,,131,138,178,,144,,196,,,,,,,,,,,,,,,,,
182,190,95,137,171,,139,68,57,100,123,143,86,80,121,65,85,110,105,131,128,,135,144,179,,145,,,,,,,,,,,,,,,,,,,
188,,97,157,190,,140,69,59,107,134,159,96,81,124,70,86,126,111,138,144,,137,151,187,,160,,,,,,,,,,,,,,,,,,,
195,,103,158,191,,158,72,63,144,137,161,108,83,135,75,91,129,114,140,,,148,161,188,,181,,,,,,,,,,,,,,,,,,,
197,,104,159,,,164,73,66,161,143,167,117,86,140,78,93,141,126,162,,,150,164,190,,188,,,,,,,,,,,,,,,,,,,
,,123,160,,,190,75,74,162,144,172,126,90,142,82,95,143,133,169,,,163,167,191,,190,,,,,,,,,,,,,,,,,,,
,,131,165,,,200,82,76,163,148,173,131,96,165,88,100,153,143,171,,,175,172,197,,,,,,,,,,,,,,,,,,,,,
,,135,168,,,,83,77,169,151,176,133,104,173,89,102,158,147,175,,,183,173,,,,,,,,,,,,,,,,,,,,,,
,,160,171,,,,86,86,171,166,180,135,118,176,96,110,159,152,179,,,188,188,,,,,,,,,,,,,,,,,,,,,,
,,163,183,,,,90,93,176,167,182,137,132,177,99,113,173,189,190,,,190,190,,,,,,,,,,,,,,,,,,,,,,
,,189,186,,,,98,101,177,190,190,162,160,181,104,121,179,190,195,,,198,196,,,,,,,,,,,,,,,,,,,,,,
,,190,190,,,,103,105,179,195,191,176,163,183,110,128,180,192,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,191,,,,107,107,181,198,195,179,167,186,124,136,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,110,113,188,,,189,175,187,128,142,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,115,126,190,,,190,176,190,130,158,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,118,131,196,,,192,177,192,132,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,120,137,,,,198,182,194,137,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,123,151,,,,,186,,138,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,128,157,,,,,190,,140,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,129,176,,,,,198,,142,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,135,187,,,,,,,145,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,137,190,,,,,,,150,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,138,197,,,,,,,155,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,139,,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,143,,,,,,,,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,149,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,151,,,,,,,,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,152,,,,,,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
